-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
autograd::engine::evaluate_function: BackwardHookFun...         0.47%     105.334ms         0.66%     147.084ms     256.243us           574                                                                                []            --  
                                    aten::silu_backward         0.43%      96.019ms         0.43%      96.019ms       3.001ms            32                                                [[8, 255, 14336], [8, 255, 14336]]            --  
                                              aten::mul         0.41%      90.607ms         0.44%      97.306ms     760.199us           128                                                              [[8, 255, 4096], []]  1069547520.000  
                                    aten::empty_strided         0.41%      90.515ms         0.41%      90.515ms      44.699us          2025                                                          [[], [], [], [], [], []]            --  
                                             aten::silu         0.39%      85.689ms         0.39%      85.689ms       2.678ms            32                                                                 [[8, 255, 14336]]            --  
                                              aten::add         0.38%      84.679ms         0.46%     102.505ms     800.823us           128                                              [[8, 255, 4096], [8, 255, 4096], []]  1069547520.000  
                                              aten::mul         0.34%      76.243ms         0.34%      76.243ms     595.652us           128                                             [[8, 32, 255, 128], [1, 1, 255, 128]]  1069547520.000  
                                               aten::mm         0.32%      71.121ms         0.32%      71.196ms     741.621us            96                                                         [[2040, 4096], [4096, 8]]  12834570240.000  
                                              aten::mul         0.29%      64.134ms         0.29%      64.134ms     497.166us           129                                                     [[8, 255, 4096], [8, 255, 1]]  1077903360.000  
                                             aten::div_         0.26%      58.407ms         0.28%      62.207ms     971.979us            64                                                              [[8, 255, 4096], []]            --  
                                            aten::empty         0.26%      58.267ms         0.26%      58.267ms      70.032us           832                                                          [[], [], [], [], [], []]            --  
                                               aten::mm         0.24%      52.972ms         0.24%      53.002ms       1.656ms            32                                                         [[4096, 2040], [2040, 8]]  4278190080.000  
                                              aten::pow         0.23%      52.018ms         0.38%      84.144ms     652.282us           129                                                              [[8, 255, 4096], []]            --  
                                               aten::mm         0.23%      50.373ms         0.23%      50.436ms     536.557us            94                                                            [[2040, 8], [8, 4096]]  12567183360.000  
                                              aten::div         0.22%      49.043ms         0.23%      51.801ms     809.392us            64                                                              [[8, 255, 4096], []]            --  
                               Optimizer.step#Adam.step         0.20%      45.220ms         0.60%     134.137ms     134.137ms             1                                                                                []            --  
                                             aten::add_         0.18%      39.670ms         0.18%      39.670ms     619.838us            64                                        [[8, 32, 255, 128], [8, 32, 255, 128], []]            --  
                                              aten::mul         0.16%      36.128ms         0.16%      36.128ms     564.508us            64                                                          [[8, 255, 4096], [4096]]  534773760.000  
                                              aten::mul         0.14%      31.329ms         0.14%      31.329ms     481.987us            65                                                          [[4096], [8, 255, 4096]]    266240.000  
                                              aten::cat         0.14%      31.031ms         0.14%      31.847ms     246.878us           129                                                                          [[], []]            --  
                                               aten::mm         0.13%      29.970ms         0.14%      30.015ms     468.991us            64                                                         [[8, 2040], [2040, 4096]]  8556380160.000  
                                     aten::_log_softmax         0.12%      26.032ms         0.12%      26.032ms      26.032ms             1                                                          [[2040, 128256], [], []]            --  
                                            aten::copy_         0.12%      25.769ms         0.12%      25.769ms      12.885ms             2                                          [[8, 255, 128256], [8, 255, 128256], []]            --  
                                              aten::mul         0.12%      25.615ms         0.12%      25.615ms     203.292us           126                                              [[8, 8, 255, 128], [1, 1, 255, 128]]  263208960.000  
                                              aten::mul         0.11%      25.362ms         0.13%      28.732ms     448.943us            64                                                              [[8, 255, 1024], []]  133693440.000  
                       aten::_log_softmax_backward_data         0.11%      24.975ms         0.11%      24.975ms      24.975ms             1                                          [[2040, 128256], [2040, 128256], [], []]            --  
                                              aten::add         0.11%      23.462ms         0.11%      23.462ms     733.181us            32                                        [[8, 32, 255, 128], [8, 32, 255, 128], []]  267386880.000  
                                              aten::sum         0.10%      22.082ms         0.10%      22.446ms     350.720us            64                                                      [[8, 255, 4096], [], [], []]            --  
                                               aten::mm         0.08%      18.448ms         0.08%      18.491ms     577.855us            32                                                         [[1024, 2040], [2040, 8]]  1069547520.000  
                                              aten::sum         0.06%      13.427ms         0.06%      13.773ms     211.892us            65                                         [[8, 255, 4096], [], [], [], [8, 255, 1]]            --  
                                            aten::copy_         0.06%      12.856ms         0.06%      12.856ms     101.231us           127                                              [[8, 255, 1024], [8, 255, 1024], []]            --  
                                              aten::neg         0.05%      12.129ms         0.05%      12.129ms     189.523us            64                                                                [[8, 32, 255, 64]]            --  
                                            aten::copy_         0.05%      11.278ms         0.05%      11.278ms     352.422us            32                                        [[8, 255, 32, 128], [8, 255, 32, 128], []]            --  
                                            aten::fill_         0.05%      11.157ms         0.05%      11.157ms      11.157ms             1                                                              [[2040, 128256], []]            --  
                                             aten::add_         0.05%      10.653ms         0.05%      10.653ms     171.823us            62                                          [[8, 8, 255, 128], [8, 8, 255, 128], []]            --  
                                            aten::fill_         0.04%       9.837ms         0.04%       9.837ms     153.711us            64                                                           [[8, 32, 255, 128], []]            --  
      autograd::engine::evaluate_function: MulBackward0         0.04%       8.823ms         1.94%     431.216ms       1.047ms           412                                                                                []            --  
                                              aten::add         0.04%       8.094ms         0.06%      12.982ms     405.694us            32                                              [[8, 255, 1024], [8, 255, 1024], []]  66846720.000  
                                               aten::mm         0.04%       8.036ms         0.04%       8.048ms     251.501us            32                                                            [[2040, 8], [8, 1024]]  1069547520.000  
                                   BackwardHookFunction         0.04%       7.946ms         0.05%      10.324ms      36.097us           286                                                                  [[8, 255, 4096]]            --  
                                            aten::copy_         0.03%       7.513ms         0.03%       7.513ms     242.352us            31                                          [[8, 255, 8, 128], [8, 255, 8, 128], []]            --  
                                            aten::copy_         0.03%       7.371ms         0.03%       7.371ms     115.166us            64                                          [[8, 32, 255, 64], [8, 32, 255, 64], []]            --  
                                              aten::add         0.03%       6.980ms         0.03%       6.980ms     218.124us            32                                          [[8, 8, 255, 128], [8, 8, 255, 128], []]  66846720.000  
                                         aten::_to_copy         0.03%       6.879ms         0.24%      52.847ms      51.407us          1028                                                      [[], [], [], [], [], [], []]            --  
                                              aten::mul         0.03%       6.221ms         0.04%       9.842ms     153.786us            64                                                                 [[8, 255, 1], []]    130560.000  
                                         aten::_to_copy         0.03%       5.992ms         1.02%     227.256ms     444.728us           511                                          [[8, 255, 4096], [], [], [], [], [], []]            --  
       autograd::engine::evaluate_function: MmBackward0         0.03%       5.981ms        30.12%        6.689s      19.111ms           350                                                                                []            --  
                                               aten::mm         0.03%       5.972ms         0.03%       6.001ms     187.516us            32                                                         [[2040, 1024], [1024, 8]]  1069547520.000  
                                              aten::div         0.03%       5.703ms         0.04%       9.185ms     143.515us            64                                                                   [[8, 4096], []]            --  
                           BackwardHookFunctionBackward         0.02%       5.398ms         0.02%       5.398ms      18.876us           286                                                                  [[8, 255, 4096]]            --  
                                             aten::sqrt         0.02%       5.375ms         0.02%       5.375ms      83.989us            64                                                                       [[8, 4096]]            --  
                                             aten::mean         0.02%       5.364ms         0.12%      27.609ms     424.750us            65                                                      [[8, 255, 4096], [], [], []]            --  
                                              aten::neg         0.02%       5.276ms         0.02%       5.276ms      83.748us            63                                                                 [[8, 8, 255, 64]]            --  
                                             aten::div_         0.02%       4.786ms         0.04%       8.472ms     130.338us            65                                                                 [[8, 255, 1], []]            --  
                                            aten::fill_         0.02%       4.651ms         0.02%       4.651ms     145.344us            32                                                           [[8, 255, 32, 128], []]            --  
     autograd::engine::evaluate_function: ViewBackward0         0.02%       4.433ms         0.31%      69.517ms     129.214us           538                                                                                []            --  
autograd::engine::evaluate_function: ToCopyBackward0...         0.02%       4.078ms         0.68%     151.380ms     593.646us           255                                                                                []            --  
                                            aten::fill_         0.02%       3.824ms         0.02%       3.824ms      59.752us            64                                                            [[8, 255, 8, 128], []]            --  
                                             aten::view         0.02%       3.817ms         0.02%       3.817ms       5.200us           734                                                              [[8, 255, 4096], []]            --  
                                              aten::add         0.02%       3.705ms         0.03%       6.811ms     104.784us            65                                                             [[8, 255, 1], [], []]    132600.000  
                                   BackwardHookFunction         0.02%       3.681ms         0.02%       4.821ms      50.223us            96                                                                 [[8, 255, 14336]]            --  
                                              aten::pow         0.02%       3.605ms         0.02%       3.784ms      59.125us            64                                                                 [[8, 255, 1], []]            --  
                                            aten::rsqrt         0.02%       3.379ms         0.02%       3.379ms      51.984us            65                                                                     [[8, 255, 1]]            --  
                                            aten::copy_         0.01%       3.290ms         0.01%       3.290ms       3.200us          1028                                                                      [[], [], []]            --  
                                            aten::copy_         0.01%       2.962ms         0.01%       2.962ms      47.779us            62                                            [[8, 8, 255, 64], [8, 8, 255, 64], []]            --  
                                              aten::div         0.01%       2.857ms         0.02%       4.611ms     144.109us            32                                                                   [[4096, 8], []]            --  
                                           MulBackward0         0.01%       2.550ms         0.96%     212.681ms     958.022us           222                                                                  [[8, 255, 4096]]            --  
                                             aten::sqrt         0.01%       2.545ms         0.01%       2.545ms      79.532us            32                                                                       [[4096, 8]]            --  
                                            aten::fill_         0.01%       2.469ms         0.01%       2.469ms      39.824us            62                                                            [[8, 8, 255, 128], []]            --  
                                              aten::mul         0.01%       2.405ms         0.01%       2.405ms      37.584us            64                                                        [[8, 255, 1], [8, 255, 1]]    130560.000  
                                            MmBackward0         0.01%       2.313ms        11.90%        2.643s      20.810ms           127                                                                    [[2040, 4096]]            --  
      autograd::engine::evaluate_function: PowBackward0         0.01%       2.305ms         0.73%     161.155ms       2.518ms            64                                                                                []            --  
                                           aten::matmul         0.01%       2.293ms        14.56%        3.234s      50.538ms            64                                                   [[8, 255, 4096], [4096, 14336]]            --  
                                            aten::lerp_         0.01%       2.269ms         0.01%       2.269ms      35.453us            64                                                        [[8, 4096], [8, 4096], []]            --  
                                            aten::fill_         0.01%       2.241ms         0.01%       2.241ms      17.506us           128                                                                   [[8, 4096], []]            --  
                                               aten::to         0.01%       2.226ms         0.25%      55.072ms      53.572us          1028                                                              [[], [], [], [], []]            --  
                           BackwardHookFunctionBackward         0.01%       2.103ms         0.01%       2.103ms      33.376us            63                                                                  [[8, 255, 1024]]            --  
                                             aten::mul_         0.01%       2.100ms         0.03%       5.561ms      86.892us            64                                                                   [[8, 4096], []]            --  
                                              aten::div         0.01%       2.059ms         0.02%       3.803ms     118.835us            32                                                                   [[1024, 8], []]            --  
autograd::engine::evaluate_function: ScaledDotProduc...         0.01%       2.043ms        10.39%        2.307s      72.094ms            32                                                                                []            --  
                                            aten::zeros         0.01%       2.024ms         0.16%      34.679ms     121.679us           285                                                              [[], [], [], [], []]            --  
                                            aten::slice         0.01%       2.023ms         0.01%       2.390ms       6.306us           379                                                [[8, 8, 255, 128], [], [], [], []]            --  
                                             aten::view         0.01%       1.999ms         0.01%       1.999ms       7.013us           285                                                                [[2040, 4096], []]            --  
      autograd::engine::evaluate_function: AddBackward0         0.01%       1.992ms         0.09%      19.388ms      76.032us           255                                                                                []            --  
    autograd::engine::evaluate_function: SliceBackward0         0.01%       1.973ms         0.25%      56.553ms     448.836us           126                                                                                []            --  
                                         aten::addcdiv_         0.01%       1.929ms         0.01%       1.929ms      30.141us            64                                             [[8, 4096], [8, 4096], [8, 4096], []]            --  
                                 torch_dcpu::linear_cpu         0.01%       1.919ms         1.55%     344.245ms      10.758ms            32                                                  [[2040, 4096], [4096, 4096], []]            --  
                                             aten::sqrt         0.01%       1.867ms         0.01%       1.867ms      58.349us            32                                                                       [[1024, 8]]            --  
                                           PowBackward0         0.01%       1.803ms         0.56%     123.678ms       1.932ms            64                                                                  [[8, 255, 4096]]            --  
                           BackwardHookFunctionBackward         0.01%       1.797ms         0.01%       1.797ms      18.722us            96                                                                 [[8, 255, 14336]]            --  
                                            MmBackward0         0.01%       1.774ms         1.66%     368.979ms       3.925ms            94                                                                    [[2040, 1024]]            --  
                                             aten::add_         0.01%       1.742ms         0.04%       8.763ms      68.463us           128                                                                      [[], [], []]            --  
                                         RsqrtBackward0         0.01%       1.728ms         0.08%      17.760ms     277.500us            64                                                                     [[8, 255, 1]]            --  
                                          aten::dropout         0.01%       1.656ms        19.81%        4.399s      68.727ms            64                                                          [[8, 255, 4096], [], []]            --  
                                   BackwardHookFunction         0.01%       1.622ms         0.01%       2.132ms      16.655us           128                                                                     [[8, 255, 8]]            --  
                                             aten::add_         0.01%       1.610ms         0.02%       5.132ms      80.189us            64                                                               [[8, 4096], [], []]            --  
autograd::engine::evaluate_function: UnsafeViewBackw...         0.01%       1.565ms         0.02%       5.268ms      18.291us           288                                                                                []            --  
                                            MmBackward0         0.01%       1.528ms        14.77%        3.281s      51.263ms            64                                                                   [[2040, 14336]]            --  
                                 torch_dcpu::linear_cpu         0.01%       1.456ms         1.05%     232.267ms       7.258ms            32                                                  [[2040, 4096], [1024, 4096], []]            --  
                                             aten::view         0.01%       1.362ms         0.01%       1.362ms       7.093us           192                                                             [[8, 255, 14336], []]            --  
                                            MmBackward0         0.01%       1.313ms         0.27%      60.610ms     947.028us            64                                                                       [[2040, 8]]            --  
                                          ViewBackward0         0.01%       1.300ms         0.02%       3.710ms      14.721us           252                                                                    [[2040, 4096]]            --  
                                            aten::slice         0.01%       1.266ms         0.01%       1.561ms       6.099us           256                                               [[8, 32, 255, 128], [], [], [], []]            --  
                                         aten::addcmul_         0.01%       1.229ms         0.01%       1.229ms      19.207us            64                                             [[8, 4096], [8, 4096], [8, 4096], []]            --  
                                           aten::matmul         0.01%       1.225ms         3.09%     686.170ms      21.443ms            32                                                    [[8, 255, 4096], [4096, 4096]]            --  
                                        aten::transpose         0.01%       1.219ms         0.01%       1.707ms      13.338us           128                                                       [[8, 255, 32, 128], [], []]            --  
                                        ToCopyBackward0         0.01%       1.209ms         0.41%      90.486ms     407.595us           222                                                                  [[8, 255, 4096]]            --  
                                            aten::lerp_         0.01%       1.114ms         0.01%       1.114ms      34.804us            32                                                        [[4096, 8], [4096, 8], []]            --  
                           BackwardHookFunctionBackward         0.00%       1.097ms         0.00%       1.097ms       8.574us           128                                                                     [[8, 255, 8]]            --  
                                            aten::fill_         0.00%       1.093ms         0.00%       1.093ms      17.083us            64                                                                   [[4096, 8], []]            --  
     autograd::engine::evaluate_function: SiluBackward0         0.00%       1.089ms         0.44%      97.469ms       3.046ms            32                                                                                []            --  
                                   BackwardHookFunction         0.00%       1.058ms         0.01%       1.362ms      21.612us            63                                                                  [[8, 255, 1024]]            --  
                     Optimizer.zero_grad#Adam.zero_grad         0.00%       1.051ms         0.00%       1.051ms       1.051ms             1                                                                                []            --  
                                             aten::mul_         0.00%       1.048ms         0.01%       2.787ms      87.089us            32                                                                   [[4096, 8], []]            --  
                                         aten::_to_copy         0.00%       1.027ms         0.09%      19.693ms     155.061us           127                                          [[8, 255, 1024], [], [], [], [], [], []]            --  
                                        aten::transpose         0.00%     983.011us         0.01%       1.232ms       5.500us           224                                                       [[8, 32, 255, 128], [], []]            --  
                                        aten::transpose         0.00%     980.498us         0.01%       1.262ms       6.606us           191                                                        [[8, 8, 255, 128], [], []]            --  
      autograd::engine::evaluate_function: CatBackward0         0.00%     973.455us         0.03%       6.239ms      49.517us           126                                                                                []            --  
    autograd::engine::evaluate_function: RsqrtBackward0         0.00%     968.835us         0.08%      18.729ms     292.638us            64                                                                                []            --  
                                          aten::reshape         0.00%     966.157us         0.01%       3.108ms       7.470us           416                                                              [[8, 255, 4096], []]            --  
                                         aten::addcdiv_         0.00%     962.129us         0.00%     962.129us      30.067us            32                                             [[4096, 8], [4096, 8], [4096, 8], []]            --  
                                                aten::t         0.00%     948.117us         0.01%       2.095ms      10.909us           192                                                                       [[8, 4096]]            --  
                                     aten::_unsafe_view         0.00%     935.361us         0.00%     935.361us       9.743us            96                                                                [[2040, 4096], []]            --  
                                          aten::view_as         0.00%     933.306us         0.01%       2.378ms       8.315us           286                                                  [[8, 255, 4096], [8, 255, 4096]]            --  
                                               aten::to         0.00%     922.497us         0.63%     139.785ms     334.414us           418                                                  [[8, 255, 4096], [], [], [], []]            --  
                                           aten::matmul         0.00%     896.515us         0.25%      54.579ms     852.794us            64                                                       [[8, 255, 4096], [4096, 8]]            --  
                                           aten::matmul         0.00%     885.034us         6.06%        1.345s      42.040ms            32                                                  [[8, 255, 14336], [14336, 4096]]            --  
                                               aten::to         0.00%     883.893us         0.40%      89.277ms     402.150us           222                                      [[8, 255, 4096], [], [], [], [], [], [], []]            --  
                                     aten::_unsafe_view         0.00%     880.189us         0.00%     880.189us      13.753us            64                                                               [[2040, 14336], []]            --  
                                          aten::reshape         0.00%     874.971us         0.01%       2.873ms      10.116us           284                                                                [[2040, 4096], []]            --  
                                             aten::view         0.00%     866.074us         0.00%     866.074us       3.919us           221                                                              [[8, 255, 1024], []]            --  
                                                aten::t         0.00%     855.059us         0.01%       1.925ms      20.051us            96                                                                   [[4096, 14336]]            --  
                                           CatBackward0         0.00%     830.344us         0.02%       4.399ms      46.803us            94                                                                [[8, 8, 255, 128]]            --  
                                           aten::expand         0.00%     810.503us         0.00%       1.101ms      17.197us            64                                                             [[8, 255, 1], [], []]            --  
autograd::engine::evaluate_function: TransposeBackwa...         0.00%     805.079us         0.01%       3.020ms      23.780us           127                                                                                []            --  
                                             aten::add_         0.00%     804.749us         0.01%       2.574ms      80.429us            32                                                               [[4096, 8], [], []]            --  
                                           aten::narrow         0.00%     799.404us         0.01%       2.429ms       9.600us           253                                                    [[8, 8, 255, 128], [], [], []]            --  
                                        aten::transpose         0.00%     796.140us         0.01%       1.146ms       5.971us           192                                                               [[8, 4096], [], []]            --  
                                                aten::t         0.00%     795.871us         0.01%       1.905ms      19.839us            96                                                                   [[14336, 4096]]            --  
                                                aten::t         0.00%     784.252us         0.01%       1.747ms      13.756us           127                                                                    [[4096, 4096]]            --  
                                           MulBackward0         0.00%     775.851us         0.06%      13.304ms     214.588us            62                                                                [[8, 8, 255, 128]]            --  
                                           MulBackward0         0.00%     768.542us         0.46%     102.259ms       3.196ms            32                                                                 [[8, 255, 14336]]            --  
                                        aten::transpose         0.00%     745.325us         0.00%       1.010ms       7.893us           128                                                        [[8, 255, 8, 128], [], []]            --  
                                   aten::slice_backward         0.00%     711.560us         0.04%       9.315ms     150.248us            62                                             [[8, 8, 255, 64], [], [], [], [], []]            --  
                                            aten::fill_         0.00%     709.632us         0.00%     709.632us       5.501us           129                                                                 [[8, 255, 1], []]            --  
                                        aten::transpose         0.00%     688.947us         0.00%       1.109ms      11.549us            96                                                           [[14336, 4096], [], []]            --  
                                                aten::t         0.00%     688.685us         0.01%       1.569ms       8.260us           190                                                                       [[4096, 8]]            --  
                                        aten::transpose         0.00%     668.549us         0.00%       1.070ms      11.144us            96                                                           [[4096, 14336], [], []]            --  
          ScaledDotProductFlashAttentionForCpuBackward0         0.00%     666.751us        10.38%        2.305s      72.030ms            32                                                               [[8, 32, 255, 128]]            --  
                                       aten::as_strided         0.00%     648.700us         0.00%     648.700us       1.138us           570                                                    [[8, 8, 255, 128], [], [], []]            --  
                                        aten::transpose         0.00%     646.923us         0.00%     962.752us       7.581us           127                                                            [[4096, 4096], [], []]            --  
                                             aten::view         0.00%     637.453us         0.00%     637.453us       2.490us           256                                                                 [[8, 255, 8], []]            --  
                                        aten::transpose         0.00%     624.969us         0.00%     880.777us       4.636us           190                                                               [[4096, 8], [], []]            --  
                                             aten::mul_         0.00%     622.055us         0.01%       2.350ms      73.433us            32                                                                   [[1024, 8], []]            --  
                                         aten::addcmul_         0.00%     609.802us         0.00%     609.802us      19.056us            32                                             [[4096, 8], [4096, 8], [4096, 8], []]            --  
                                       aten::zeros_like         0.00%     604.881us         0.04%       8.902ms      69.550us           128                                                   [[8, 4096], [], [], [], [], []]            --  
        autograd::engine::evaluate_function: TBackward0         0.00%     601.095us         0.01%       1.887ms      14.739us           128                                                                                []            --  
                                          aten::reshape         0.00%     595.721us         0.05%      10.778ms     171.084us            63                                                            [[8, 255, 8, 128], []]            --  
                                   aten::slice_backward         0.00%     591.442us         0.10%      21.187ms     331.051us            64                                            [[8, 32, 255, 64], [], [], [], [], []]            --  
                                          MeanBackward1         0.00%     586.401us         0.24%      53.488ms     835.752us            64                                                                     [[8, 255, 1]]            --  
                                             aten::add_         0.00%     561.875us         0.01%       2.292ms      71.625us            32                                                               [[1024, 8], [], []]            --  
                                           aten::linear         0.00%     546.869us        14.57%        3.236s      50.568ms            64                                               [[8, 255, 4096], [14336, 4096], []]            --  
                                       aten::as_strided         0.00%     544.801us         0.00%     544.801us       1.135us           480                                                   [[8, 32, 255, 128], [], [], []]            --  
autograd::engine::evaluate_function: torch::autograd...         0.00%     526.532us         0.01%       2.127ms      16.620us           128                                                                                []            --  
     autograd::engine::evaluate_function: MeanBackward1         0.00%     504.282us         0.24%      53.992ms     843.631us            64                                                                                []            --  
                                       aten::empty_like         0.00%     497.520us         0.03%       5.773ms      45.098us           128                                                   [[8, 4096], [], [], [], [], []]            --  
                                       aten::as_strided         0.00%     488.697us         0.00%     488.697us       3.818us           128                                                   [[8, 255, 32, 128], [], [], []]            --  
                                           aten::matmul         0.00%     474.195us         1.07%     237.970ms       7.437ms            32                                                    [[8, 255, 4096], [4096, 1024]]            --  
                                            aten::fill_         0.00%     463.903us         0.00%     463.903us       7.364us            63                                                                         [[0], []]            --  
                                    UnsafeViewBackward0         0.00%     437.464us         0.01%       1.340ms      13.953us            96                                                                  [[8, 255, 4096]]            --  
                                          aten::view_as         0.00%     424.460us         0.01%       1.141ms      11.883us            96                                                [[8, 255, 14336], [8, 255, 14336]]            --  
                                       aten::as_strided         0.00%     419.766us         0.00%     419.766us       4.373us            96                                                       [[14336, 4096], [], [], []]            --  
                                           MulBackward0         0.00%     405.056us         0.17%      36.962ms     577.537us            64                                                               [[8, 32, 255, 128]]            --  
                                       aten::as_strided         0.00%     401.243us         0.00%     401.243us       4.180us            96                                                       [[4096, 14336], [], [], []]            --  
                                          aten::reshape         0.00%     399.199us         0.06%      14.006ms     218.845us            64                                                           [[8, 255, 32, 128], []]            --  
                                    UnsafeViewBackward0         0.00%     393.552us         0.00%       1.064ms      16.629us            64                                                                 [[8, 255, 14336]]            --  
                                            aten::zero_         0.00%     387.962us         0.00%     851.865us      13.522us            63                                                                             [[0]]            --  
                                            aten::lerp_         0.00%     387.341us         0.00%     387.341us      12.104us            32                                                        [[1024, 8], [1024, 8], []]            --  
                                         SliceBackward0         0.00%     378.933us         0.04%       9.694ms     156.360us            62                                                                 [[8, 8, 255, 64]]            --  
                                            aten::clone         0.00%     374.153us         0.04%       9.746ms     314.372us            31                                                            [[8, 255, 8, 128], []]            --  
      autograd::engine::evaluate_function: NegBackward0         0.00%     365.044us         0.04%       8.803ms     139.728us            63                                                                                []            --  
                                           aten::narrow         0.00%     364.362us         0.00%       1.030ms       8.049us           128                                                   [[8, 32, 255, 128], [], [], []]            --  
                                           aten::linear         0.00%     363.341us         0.25%      55.993ms     874.886us            64                                                   [[8, 255, 4096], [8, 4096], []]            --  
                                             aten::item         0.00%     361.084us         0.00%     470.832us       3.622us           130                                                                              [[]]            --  
                                          SiluBackward0         0.00%     360.493us         0.43%      96.379ms       3.012ms            32                                                                 [[8, 255, 14336]]            --  
                                     aten::resolve_conj         0.00%     350.848us         0.00%     350.848us       0.424us           828                                                                    [[2040, 4096]]            --  
                                       aten::as_strided         0.00%     350.313us         0.00%     350.313us       1.825us           192                                                           [[8, 4096], [], [], []]            --  
                                     aten::_unsafe_view         0.00%     345.122us         0.00%     345.122us       5.393us            64                                                                [[2040, 1024], []]            --  
                                       aten::zeros_like         0.00%     343.755us         0.02%       3.419ms      53.426us            64                                                   [[1024, 8], [], [], [], [], []]            --  
                                       aten::empty_like         0.00%     335.969us         0.02%       3.986ms      62.280us            64                                              [[8, 255, 4096], [], [], [], [], []]            --  
                                         aten::addcdiv_         0.00%     333.952us         0.00%     333.952us      10.436us            32                                             [[1024, 8], [1024, 8], [1024, 8], []]            --  
                                                aten::t         0.00%     324.861us         0.00%     707.398us      11.410us            62                                                                    [[4096, 1024]]            --  
                                          aten::reshape         0.00%     323.107us         0.00%     968.653us      10.090us            96                                                             [[8, 255, 14336], []]            --  
                                     aten::_unsafe_view         0.00%     319.618us         0.00%     319.618us       4.994us            64                                                                   [[2040, 8], []]            --  
                     aten::scaled_dot_product_attention         0.00%     315.996us         1.18%     262.746ms       8.211ms            32       [[8, 32, 255, 128], [8, 8, 255, 128], [8, 8, 255, 128], [], [], [], [], []]            --  
                                       aten::as_strided         0.00%     315.829us         0.00%     315.829us       2.487us           127                                                        [[4096, 4096], [], [], []]            --  
                                          aten::detach_         0.00%     314.221us         0.00%     404.007us       3.156us           128                                                                              [[]]            --  
                                           aten::matmul         0.00%     310.998us         0.10%      23.249ms     726.535us            32                                                          [[8, 255, 8], [8, 4096]]            --  
                                       aten::zeros_like         0.00%     305.578us         0.02%       4.437ms      69.331us            64                                                   [[4096, 8], [], [], [], [], []]            --  
                        torch::autograd::AccumulateGrad         0.00%     300.868us         0.00%     610.934us       9.546us            64                                                                       [[8, 4096]]            --  
                                     aten::index_select         0.00%     293.487us         0.00%     302.784us     302.784us             1                                                      [[128256, 4096], [], [2040]]            --  
                                       aten::as_strided         0.00%     290.116us         0.00%     290.116us       4.533us            64                                                         [[8, 255, 1], [], [], []]            --  
                                            aten::zero_         0.00%     284.172us         0.01%       2.525ms      19.727us           128                                                                       [[8, 4096]]            --  
                                                aten::t         0.00%     282.253us         0.00%     500.309us       7.817us            64                                                                    [[1024, 4096]]            --  
                                           aten::matmul         0.00%     279.901us         0.04%       8.547ms     267.084us            32                                                          [[8, 255, 8], [8, 1024]]            --  
