-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
                                              aten::mul         0.47%     220.422ms         0.47%     220.422ms       1.531ms           144                                                [[8, 256, 13824], [8, 256, 13824]]  4076863488.000  
                                             aten::add_         0.45%     209.611ms         0.45%     209.611ms     631.357us           332                                              [[8, 256, 5120], [8, 256, 5120], []]            --  
autograd::engine::evaluate_function: BackwardHookFun...         0.38%     175.228ms         0.54%     251.544ms     291.815us           862                                                                                []            --  
                                              aten::mul         0.36%     166.950ms         0.39%     182.828ms     952.227us           192                                                              [[8, 256, 5120], []]  2013265920.000  
                                    aten::empty_strided         0.35%     162.045ms         0.35%     162.045ms      53.427us          3033                                                          [[], [], [], [], [], []]            --  
                                              aten::add         0.32%     151.076ms         0.40%     184.892ms     962.977us           192                                              [[8, 256, 5120], [8, 256, 5120], []]  2013265920.000  
                                              aten::mul         0.32%     148.765ms         0.32%     148.765ms     774.815us           192                                             [[8, 40, 256, 128], [1, 1, 256, 128]]  2013265920.000  
                                    aten::silu_backward         0.28%     128.615ms         0.28%     128.615ms       2.679ms            48                                                [[8, 256, 13824], [8, 256, 13824]]            --  
                                              aten::mul         0.26%     123.173ms         0.26%     123.173ms     638.204us           193                                                     [[8, 256, 5120], [8, 256, 1]]  2023751680.000  
                                             aten::silu         0.26%     122.468ms         0.26%     122.468ms       2.551ms            48                                                                 [[8, 256, 13824]]            --  
                                               aten::mm         0.25%     116.373ms         0.25%     116.511ms     809.107us           144                                                         [[2048, 5120], [5120, 8]]  24159191040.000  
                                             aten::div_         0.25%     114.284ms         0.26%     121.570ms       1.266ms            96                                                              [[8, 256, 5120], []]            --  
                                              aten::pow         0.24%     113.615ms         0.38%     177.957ms     922.057us           193                                                              [[8, 256, 5120], []]            --  
                                            aten::empty         0.21%      98.941ms         0.21%      98.941ms      79.280us          1248                                                          [[], [], [], [], [], []]            --  
                                              aten::div         0.21%      95.580ms         0.22%     100.582ms       1.048ms            96                                                              [[8, 256, 5120], []]            --  
                                               aten::mm         0.20%      94.241ms         0.20%      94.353ms     664.461us           142                                                            [[2048, 8], [8, 5120]]  23823646720.000  
                                               aten::mm         0.17%      80.174ms         0.17%      80.223ms       1.671ms            48                                                         [[5120, 2048], [2048, 8]]  8053063680.000  
                                             aten::add_         0.17%      78.905ms         0.17%      78.905ms     821.926us            96                                        [[8, 40, 256, 128], [8, 40, 256, 128], []]            --  
                                              aten::mul         0.17%      78.548ms         0.17%      78.548ms     413.410us           190                                              [[8, 8, 256, 128], [1, 1, 256, 128]]  398458880.000  
                                               aten::mm         0.12%      57.334ms         0.12%      57.412ms     598.044us            96                                                         [[8, 2048], [2048, 5120]]  16106127360.000  
                               Optimizer.step#Adam.step         0.11%      52.893ms         0.32%     148.681ms     148.681ms             1                                                                                []            --  
                                              aten::cat         0.11%      52.344ms         0.12%      53.875ms     279.146us           193                                                                          [[], []]            --  
                                              aten::mul         0.11%      51.008ms         0.11%      51.008ms     531.329us            96                                                          [[8, 256, 5120], [5120]]  1006632960.000  
                                              aten::mul         0.11%      49.276ms         0.11%      49.276ms     508.000us            97                                                          [[5120], [8, 256, 5120]]    496640.000  
                                              aten::sum         0.10%      44.866ms         0.10%      45.433ms     473.264us            96                                                      [[8, 256, 5120], [], [], []]            --  
                                              aten::add         0.10%      44.841ms         0.10%      44.841ms     934.194us            48                                        [[8, 40, 256, 128], [8, 40, 256, 128], []]  503316480.000  
                                     aten::_log_softmax         0.09%      41.647ms         0.09%      41.647ms      41.647ms             1                                                          [[2048, 152064], [], []]            --  
                                             aten::add_         0.08%      39.468ms         0.08%      39.468ms     822.250us            48                                                        [[2048, 5120], [5120], []]            --  
                                            aten::copy_         0.08%      35.946ms         0.08%      35.946ms      17.973ms             2                                          [[8, 256, 152064], [8, 256, 152064], []]            --  
                                              aten::mul         0.08%      35.257ms         0.09%      43.114ms     449.105us            96                                                              [[8, 256, 1024], []]  201326592.000  
                       aten::_log_softmax_backward_data         0.07%      33.163ms         0.07%      33.163ms      33.163ms             1                                          [[2048, 152064], [2048, 152064], [], []]            --  
                                               aten::mm         0.07%      32.813ms         0.07%      32.901ms     685.443us            48                                                         [[1024, 2048], [2048, 8]]  1610612736.000  
                                              aten::neg         0.06%      29.369ms         0.06%      29.369ms     305.929us            96                                                                [[8, 40, 256, 64]]            --  
                                              aten::sum         0.06%      27.519ms         0.06%      28.066ms     289.344us            97                                         [[8, 256, 5120], [], [], [], [8, 256, 1]]            --  
                                              aten::neg         0.06%      25.958ms         0.06%      25.958ms     273.245us            95                                                                 [[8, 8, 256, 64]]            --  
                                            aten::fill_         0.05%      21.061ms         0.05%      21.061ms     219.381us            96                                                           [[8, 40, 256, 128], []]            --  
                                            aten::copy_         0.04%      19.703ms         0.04%      19.703ms     103.159us           191                                              [[8, 256, 1024], [8, 256, 1024], []]            --  
                                            aten::copy_         0.04%      19.587ms         0.04%      19.587ms     408.071us            48                                        [[8, 256, 40, 128], [8, 256, 40, 128], []]            --  
      autograd::engine::evaluate_function: MulBackward0         0.04%      17.954ms         1.78%     829.077ms       1.337ms           620                                                                                []            --  
                                             aten::add_         0.04%      17.451ms         0.04%      17.451ms     185.647us            94                                          [[8, 8, 256, 128], [8, 8, 256, 128], []]            --  
                                            aten::fill_         0.03%      14.244ms         0.03%      14.244ms      14.244ms             1                                                              [[2048, 152064], []]            --  
                                   BackwardHookFunction         0.03%      13.616ms         0.04%      17.914ms      41.660us           430                                                                  [[8, 256, 5120]]            --  
                                            aten::copy_         0.03%      13.503ms         0.03%      13.503ms     140.653us            96                                          [[8, 40, 256, 64], [8, 40, 256, 64], []]            --  
                                            aten::copy_         0.03%      12.732ms         0.03%      12.732ms     270.893us            47                                          [[8, 256, 8, 128], [8, 256, 8, 128], []]            --  
                                               aten::mm         0.03%      12.720ms         0.03%      12.780ms     266.256us            48                                                         [[2048, 1024], [1024, 8]]  1610612736.000  
                                              aten::mul         0.03%      12.107ms         0.04%      20.277ms     211.216us            96                                                                 [[8, 256, 1], []]    196608.000  
                                              aten::add         0.02%      11.366ms         0.02%      11.366ms     236.787us            48                                          [[8, 8, 256, 128], [8, 8, 256, 128], []]  100663296.000  
                                               aten::mm         0.02%      11.180ms         0.02%      11.199ms     233.318us            48                                                            [[2048, 8], [8, 1024]]  1610612736.000  
                                         aten::_to_copy         0.02%      11.114ms         0.95%     442.440ms     576.845us           767                                          [[8, 256, 5120], [], [], [], [], [], []]            --  
                                              aten::add         0.02%       9.513ms         0.03%      16.219ms     337.891us            48                                              [[8, 256, 1024], [8, 256, 1024], []]  100663296.000  
       autograd::engine::evaluate_function: MmBackward0         0.02%       9.502ms        22.74%       10.603s      24.544ms           432                                                                                []            --  
autograd::engine::evaluate_function: ToCopyBackward0...         0.02%       8.801ms         0.64%     300.492ms     784.576us           383                                                                                []            --  
                                         aten::_to_copy         0.02%       8.602ms         0.17%      81.441ms      52.884us          1540                                                      [[], [], [], [], [], [], []]            --  
                                             aten::add_         0.02%       8.549ms         0.02%       8.549ms     178.112us            48                                                        [[2048, 1024], [1024], []]            --  
                                             aten::mean         0.02%       8.470ms         0.11%      50.445ms     520.046us            97                                                      [[8, 256, 5120], [], [], []]            --  
                                              aten::pow         0.02%       8.222ms         0.02%       8.520ms      88.750us            96                                                                 [[8, 256, 1], []]            --  
                                             aten::div_         0.02%       8.216ms         0.03%      13.909ms     143.387us            97                                                                 [[8, 256, 1], []]            --  
                           BackwardHookFunctionBackward         0.02%       8.142ms         0.02%       8.142ms      18.936us           430                                                                  [[8, 256, 5120]]            --  
     autograd::engine::evaluate_function: ViewBackward0         0.02%       7.547ms         0.21%      97.169ms     113.383us           857                                                                                []            --  
                                            aten::fill_         0.02%       7.430ms         0.02%       7.430ms     154.801us            48                                                           [[8, 256, 40, 128], []]            --  
                                             aten::view         0.01%       6.648ms         0.01%       6.648ms       6.033us          1102                                                              [[8, 256, 5120], []]            --  
                                              aten::div         0.01%       5.662ms         0.02%       9.429ms      98.214us            96                                                                   [[8, 5120], []]            --  
                                              aten::add         0.01%       5.512ms         0.02%      10.042ms     103.527us            97                                                             [[8, 256, 1], [], []]    198656.000  
                                            aten::rsqrt         0.01%       5.390ms         0.01%       5.390ms      55.566us            97                                                                     [[8, 256, 1]]            --  
                                              aten::mul         0.01%       5.209ms         0.01%       5.209ms      54.260us            96                                                        [[8, 256, 1], [8, 256, 1]]    196608.000  
                                   BackwardHookFunction         0.01%       5.163ms         0.01%       6.789ms      47.149us           144                                                                 [[8, 256, 13824]]            --  
    autograd::engine::evaluate_function: SliceBackward0         0.01%       4.993ms         0.26%     119.681ms     629.901us           190                                                                                []            --  
                                            aten::copy_         0.01%       4.766ms         0.01%       4.766ms      50.698us            94                                            [[8, 8, 256, 64], [8, 8, 256, 64], []]            --  
                                            aten::copy_         0.01%       4.627ms         0.01%       4.627ms       3.005us          1540                                                                      [[], [], []]            --  
                                            aten::fill_         0.01%       4.432ms         0.01%       4.432ms      47.152us            94                                                            [[8, 8, 256, 128], []]            --  
      autograd::engine::evaluate_function: PowBackward0         0.01%       4.288ms         0.71%     331.163ms       3.450ms            96                                                                                []            --  
                                             aten::sqrt         0.01%       4.239ms         0.01%       4.239ms      44.158us            96                                                                       [[8, 5120]]            --  
                                           MulBackward0         0.01%       4.188ms         0.88%     408.550ms       1.223ms           334                                                                  [[8, 256, 5120]]            --  
      autograd::engine::evaluate_function: AddBackward0         0.01%       4.185ms         0.10%      44.359ms     103.160us           430                                                                                []            --  
                                            aten::zeros         0.01%       4.012ms         0.15%      69.379ms     161.723us           429                                                              [[], [], [], [], []]            --  
autograd::engine::evaluate_function: ScaledDotProduc...         0.01%       3.989ms        17.47%        8.144s     169.673ms            48                                                                                []            --  
                                            aten::slice         0.01%       3.933ms         0.01%       4.729ms       8.282us           571                                                [[8, 8, 256, 128], [], [], [], []]            --  
                                             aten::view         0.01%       3.583ms         0.01%       3.583ms       9.381us           382                                                                [[2048, 5120], []]            --  
                                            MmBackward0         0.01%       3.538ms         8.70%        4.058s      28.178ms           144                                                                    [[2048, 5120]]            --  
                                            aten::fill_         0.01%       3.400ms         0.01%       3.400ms      35.419us            96                                                            [[8, 256, 8, 128], []]            --  
                           BackwardHookFunctionBackward         0.01%       3.394ms         0.01%       3.394ms      35.728us            95                                                                  [[8, 256, 1024]]            --  
                                   BackwardHookFunction         0.01%       3.213ms         0.01%       4.194ms      21.846us           192                                                                     [[8, 256, 8]]            --  
                                           PowBackward0         0.01%       3.212ms         0.56%     259.335ms       2.701ms            96                                                                  [[8, 256, 5120]]            --  
                                          aten::dropout         0.01%       3.205ms        22.87%       10.664s     111.082ms            96                                                          [[8, 256, 5120], [], []]            --  
                                           aten::matmul         0.01%       3.074ms        11.38%        5.305s      55.263ms            96                                                   [[8, 256, 5120], [5120, 13824]]            --  
                                               aten::to         0.01%       2.910ms         0.18%      84.351ms      54.774us          1540                                                              [[], [], [], [], []]            --  
                                         RsqrtBackward0         0.01%       2.861ms         0.08%      36.866ms     384.024us            96                                                                     [[8, 256, 1]]            --  
                                              aten::div         0.01%       2.829ms         0.01%       4.714ms      98.212us            48                                                                   [[5120, 8], []]            --  
                                 torch_dcpu::linear_cpu         0.01%       2.771ms         0.89%     413.278ms       8.610ms            48                                              [[2048, 5120], [1024, 5120], [1024]]            --  
                           BackwardHookFunctionBackward         0.01%       2.756ms         0.01%       2.756ms      19.138us           144                                                                 [[8, 256, 13824]]            --  
                                            aten::fill_         0.01%       2.694ms         0.01%       2.694ms      14.031us           192                                                                   [[8, 5120], []]            --  
                                            MmBackward0         0.01%       2.684ms         0.85%     397.596ms       4.185ms            95                                                                    [[2048, 1024]]            --  
                                            MmBackward0         0.01%       2.613ms         0.25%     118.405ms       1.233ms            96                                                                       [[2048, 8]]            --  
                                            aten::copy_         0.01%       2.576ms         0.01%       2.576ms      53.666us            48                                                  [[2048, 1024], [2048, 1024], []]            --  
                                            aten::slice         0.01%       2.570ms         0.01%       3.179ms       8.278us           384                                               [[8, 40, 256, 128], [], [], [], []]            --  
autograd::engine::evaluate_function: UnsafeViewBackw...         0.00%       2.255ms         0.02%       8.213ms      21.333us           385                                                                                []            --  
                                            MmBackward0         0.00%       2.211ms        11.67%        5.442s      56.685ms            96                                                                   [[2048, 13824]]            --  
                                              aten::div         0.00%       2.178ms         0.01%       4.043ms      84.237us            48                                                                   [[1024, 8], []]            --  
                           BackwardHookFunctionBackward         0.00%       2.131ms         0.00%       2.131ms      11.099us           192                                                                     [[8, 256, 8]]            --  
                                             aten::sqrt         0.00%       2.119ms         0.00%       2.119ms      44.156us            48                                                                       [[5120, 8]]            --  
                                        aten::transpose         0.00%       2.098ms         0.01%       2.905ms      15.130us           192                                                       [[8, 256, 40, 128], [], []]            --  
                                   BackwardHookFunction         0.00%       2.060ms         0.01%       2.591ms      27.273us            95                                                                  [[8, 256, 1024]]            --  
                                            aten::lerp_         0.00%       2.052ms         0.00%       2.052ms      21.373us            96                                                        [[8, 5120], [8, 5120], []]            --  
                                         aten::_to_copy         0.00%       2.009ms         0.08%      35.447ms     185.584us           191                                          [[8, 256, 1024], [], [], [], [], [], []]            --  
                                        ToCopyBackward0         0.00%       1.993ms         0.40%     188.546ms     564.510us           334                                                                  [[8, 256, 5120]]            --  
                                          ViewBackward0         0.00%       1.985ms         0.01%       5.347ms      16.058us           333                                                                    [[2048, 5120]]            --  
                                               aten::to         0.00%       1.961ms         0.56%     259.274ms     414.175us           626                                                  [[8, 256, 5120], [], [], [], []]            --  
                                             aten::mul_         0.00%       1.946ms         0.01%       5.675ms      59.119us            96                                                                   [[8, 5120], []]            --  
                                             aten::sqrt         0.00%       1.942ms         0.00%       1.942ms      40.464us            48                                                                       [[1024, 8]]            --  
      autograd::engine::evaluate_function: CatBackward0         0.00%       1.926ms         0.03%      12.287ms      64.669us           190                                                                                []            --  
                                             aten::view         0.00%       1.899ms         0.00%       1.899ms       6.592us           288                                                             [[8, 256, 13824], []]            --  
    autograd::engine::evaluate_function: RsqrtBackward0         0.00%       1.804ms         0.08%      38.670ms     402.812us            96                                                                                []            --  
                                        aten::transpose         0.00%       1.713ms         0.00%       2.201ms       7.668us           287                                                        [[8, 8, 256, 128], [], []]            --  
                                           aten::matmul         0.00%       1.708ms         3.48%        1.623s      33.809ms            48                                                    [[8, 256, 5120], [5120, 5120]]            --  
                                          aten::view_as         0.00%       1.701ms         0.01%       4.298ms       9.995us           430                                                  [[8, 256, 5120], [8, 256, 5120]]            --  
                                           MulBackward0         0.00%       1.700ms         0.13%      59.425ms     632.183us            94                                                                [[8, 8, 256, 128]]            --  
                                             aten::add_         0.00%       1.694ms         0.02%       9.201ms      47.922us           192                                                                      [[], [], []]            --  
                                          aten::reshape         0.00%       1.668ms         0.01%       5.158ms       8.955us           576                                                              [[8, 256, 5120], []]            --  
     autograd::engine::evaluate_function: SiluBackward0         0.00%       1.656ms         0.28%     130.730ms       2.724ms            48                                                                                []            --  
                                                aten::t         0.00%       1.651ms         0.01%       3.654ms      12.686us           288                                                                       [[8, 5120]]            --  
                                           aten::matmul         0.00%       1.632ms         0.19%      87.935ms     915.991us            96                                                       [[8, 256, 5120], [5120, 8]]            --  
                                     aten::_unsafe_view         0.00%       1.609ms         0.00%       1.609ms      11.176us           144                                                                [[2048, 5120], []]            --  
                                           aten::narrow         0.00%       1.597ms         0.01%       4.778ms      12.540us           381                                                    [[8, 8, 256, 128], [], [], []]            --  
                                           CatBackward0         0.00%       1.597ms         0.02%       8.293ms      58.398us           142                                                                [[8, 8, 256, 128]]            --  
                                         aten::addcdiv_         0.00%       1.577ms         0.00%       1.577ms      16.431us            96                                             [[8, 5120], [8, 5120], [8, 5120], []]            --  
                                   aten::slice_backward         0.00%       1.567ms         0.05%      21.001ms     223.415us            94                                             [[8, 8, 256, 64], [], [], [], [], []]            --  
                                             aten::add_         0.00%       1.555ms         0.01%       5.263ms      54.824us            96                                                               [[8, 5120], [], []]            --  
                                             aten::view         0.00%       1.551ms         0.00%       1.551ms       4.657us           333                                                              [[8, 256, 1024], []]            --  
                                          aten::reshape         0.00%       1.519ms         0.01%       5.102ms      13.390us           381                                                                [[2048, 5120], []]            --  
                                        aten::transpose         0.00%       1.512ms         0.00%       1.906ms       5.672us           336                                                       [[8, 40, 256, 128], [], []]            --  
autograd::engine::evaluate_function: TransposeBackwa...         0.00%       1.443ms         0.01%       5.420ms      28.379us           191                                                                                []            --  
                                               aten::to         0.00%       1.426ms         0.40%     186.554ms     558.545us           334                                      [[8, 256, 5120], [], [], [], [], [], [], []]            --  
                                        aten::transpose         0.00%       1.395ms         0.00%       2.003ms       6.954us           288                                                               [[8, 5120], [], []]            --  
                                           MulBackward0         0.00%       1.344ms         0.32%     151.465ms       3.156ms            48                                                                 [[8, 256, 13824]]            --  
                                            aten::fill_         0.00%       1.334ms         0.00%       1.334ms      13.896us            96                                                                   [[5120, 8], []]            --  
                                           aten::matmul         0.00%       1.332ms         4.73%        2.205s      45.932ms            48                                                  [[8, 256, 13824], [13824, 5120]]            --  
                                       aten::as_strided         0.00%       1.284ms         0.00%       1.284ms       1.496us           858                                                    [[8, 8, 256, 128], [], [], []]            --  
                                             aten::view         0.00%       1.277ms         0.00%       1.277ms       3.327us           384                                                                 [[8, 256, 8], []]            --  
                     Optimizer.zero_grad#Adam.zero_grad         0.00%       1.275ms         0.00%       1.275ms       1.275ms             1                                                                                []            --  
                                           aten::expand         0.00%       1.262ms         0.00%       1.664ms      17.328us            96                                                             [[8, 256, 1], [], []]            --  
                                        aten::transpose         0.00%       1.235ms         0.00%       1.660ms       8.643us           192                                                        [[8, 256, 8, 128], [], []]            --  
                                                aten::t         0.00%       1.230ms         0.01%       2.848ms       9.958us           286                                                                       [[5120, 8]]            --  
                                                aten::t         0.00%       1.227ms         0.01%       2.904ms      20.170us           144                                                                   [[13824, 5120]]            --  
                                     aten::_unsafe_view         0.00%       1.218ms         0.00%       1.218ms      12.691us            96                                                               [[2048, 13824], []]            --  
                                   aten::slice_backward         0.00%       1.209ms         0.10%      46.597ms     485.385us            96                                            [[8, 40, 256, 64], [], [], [], [], []]            --  
                                        aten::transpose         0.00%       1.169ms         0.00%       1.618ms       5.657us           286                                                               [[5120, 8], [], []]            --  
                                           aten::linear         0.00%       1.167ms         0.90%     421.480ms       8.781ms            48                                            [[8, 256, 5120], [1024, 5120], [1024]]            --  
                                                aten::t         0.00%       1.160ms         0.01%       2.686ms      18.650us           144                                                                   [[5120, 13824]]            --  
        autograd::engine::evaluate_function: TBackward0         0.00%       1.138ms         0.01%       3.571ms      18.598us           192                                                                                []            --  
                                            aten::fill_         0.00%       1.114ms         0.00%       1.114ms       5.775us           193                                                                 [[8, 256, 1], []]            --  
                                           MulBackward0         0.00%       1.103ms         0.17%      77.275ms     804.945us            96                                                               [[8, 40, 256, 128]]            --  
                                         aten::addcmul_         0.00%       1.102ms         0.00%       1.102ms      11.482us            96                                             [[8, 5120], [8, 5120], [8, 5120], []]            --  
                                          aten::reshape         0.00%       1.092ms         0.04%      19.307ms     203.231us            95                                                            [[8, 256, 8, 128], []]            --  
                                        aten::transpose         0.00%       1.090ms         0.00%       1.678ms      11.650us           144                                                           [[13824, 5120], [], []]            --  
autograd::engine::evaluate_function: torch::autograd...         0.00%       1.032ms         0.01%       3.859ms      20.100us           192                                                                                []            --  
                                            aten::lerp_         0.00%       1.026ms         0.00%       1.026ms      21.374us            48                                                        [[5120, 8], [5120, 8], []]            --  
          ScaledDotProductFlashAttentionForCpuBackward0         0.00%       1.004ms        17.46%        8.140s     169.589ms            48                                                               [[8, 40, 256, 128]]            --  
                                       aten::as_strided         0.00%       1.003ms         0.00%       1.003ms       1.393us           720                                                   [[8, 40, 256, 128], [], [], []]            --  
                                        aten::transpose         0.00%     979.846us         0.00%       1.525ms      10.593us           144                                                           [[5120, 13824], [], []]            --  
                                             aten::mul_         0.00%     978.375us         0.01%       2.821ms      58.769us            48                                                                   [[5120, 8], []]            --  
                                          MeanBackward1         0.00%     950.641us         0.22%     103.196ms       1.075ms            96                                                                     [[8, 256, 1]]            --  
                                       aten::empty_like         0.00%     919.082us         0.02%       8.803ms      91.702us            96                                              [[8, 256, 5120], [], [], [], [], []]            --  
     autograd::engine::evaluate_function: MeanBackward1         0.00%     902.689us         0.22%     104.098ms       1.084ms            96                                                                                []            --  
                                         AddmmBackward0         0.00%     888.323us         0.68%     318.587ms       6.778ms            47                                                                    [[2048, 1024]]            --  
      autograd::engine::evaluate_function: NegBackward0         0.00%     878.799us         0.08%      38.737ms     407.760us            95                                                                                []            --  
                                             aten::view         0.00%     853.621us         0.00%     853.621us       8.892us            96                                                                [[2048, 1024], []]            --  
                                       aten::zeros_like         0.00%     836.000us         0.03%      12.017ms      62.589us           192                                                   [[8, 5120], [], [], [], [], []]            --  
                                         SliceBackward0         0.00%     828.029us         0.05%      21.829ms     232.224us            94                                                                 [[8, 8, 256, 64]]            --  
                                           aten::linear         0.00%     819.472us        11.39%        5.308s      55.293ms            96                                               [[8, 256, 5120], [13824, 5120], []]            --  
                                          aten::reshape         0.00%     814.850us         0.05%      25.612ms     266.787us            96                                                           [[8, 256, 40, 128], []]            --  
                                       aten::as_strided         0.00%     806.811us         0.00%     806.811us       4.202us           192                                                   [[8, 256, 40, 128], [], [], []]            --  
                                    UnsafeViewBackward0         0.00%     795.833us         0.01%       2.383ms      16.549us           144                                                                  [[8, 256, 5120]]            --  
                                         aten::addcdiv_         0.00%     784.523us         0.00%     784.523us      16.344us            48                                             [[5120, 8], [5120, 8], [5120, 8], []]            --  
                                            aten::fill_         0.00%     771.459us         0.00%     771.459us       8.121us            95                                                                         [[0], []]            --  
                                             aten::add_         0.00%     758.970us         0.01%       2.610ms      54.374us            48                                                               [[5120, 8], [], []]            --  
                                           aten::narrow         0.00%     754.028us         0.00%       2.209ms      11.506us           192                                                   [[8, 40, 256, 128], [], [], []]            --  
                                            aten::zero_         0.00%     662.814us         0.00%       1.434ms      15.098us            95                                                                             [[0]]            --  
                                           aten::matmul         0.00%     648.694us         0.09%      39.815ms     829.474us            48                                                          [[8, 256, 8], [8, 5120]]            --  
                                                aten::t         0.00%     643.083us         0.00%       1.237ms      12.886us            96                                                                    [[5120, 5120]]            --  
                                          aten::view_as         0.00%     640.642us         0.00%       1.626ms      11.292us           144                                                [[8, 256, 13824], [8, 256, 13824]]            --  
                                     aten::_unsafe_view         0.00%     633.254us         0.00%     633.254us       6.596us            96                                                                   [[2048, 8], []]            --  
                                         SliceBackward0         0.00%     614.426us         0.10%      47.211ms     491.785us            96                                                                [[8, 40, 256, 64]]            --  
                                           aten::linear         0.00%     610.552us         0.19%      90.388ms     941.543us            96                                                   [[8, 256, 5120], [8, 5120], []]            --  
                                            aten::clone         0.00%     609.989us         0.04%      17.449ms     371.259us            47                                                            [[8, 256, 8, 128], []]            --  
                                       aten::as_strided         0.00%     608.135us         0.00%     608.135us       2.112us           288                                                           [[8, 5120], [], [], []]            --  
                                                aten::t         0.00%     601.691us         0.00%       1.234ms      13.124us            94                                                                    [[5120, 1024]]            --  
                                       aten::empty_like         0.00%     601.145us         0.02%       8.182ms      42.616us           192                                                   [[8, 5120], [], [], [], [], []]            --  
                                            aten::clone         0.00%     589.743us         0.05%      24.217ms     504.529us            48                                                           [[8, 256, 40, 128], []]            --  
                                       aten::as_strided         0.00%     588.016us         0.00%     588.016us       4.083us           144                                                       [[13824, 5120], [], [], []]            --  
                                    UnsafeViewBackward0         0.00%     576.776us         0.00%       1.540ms      16.037us            96                                                                 [[8, 256, 13824]]            --  
                    torch::autograd::WarnNotImplemented         0.00%     559.864us         0.00%     559.864us      11.912us            47                                                                    [[2048, 5120]]            --  
                                             aten::mul_         0.00%     558.089us         0.01%       2.400ms      49.992us            48                                                                   [[1024, 8], []]            --  
                                             aten::view         0.00%     555.426us         0.00%     555.426us      11.571us            48                                                               [[2048, 13824], []]            --  
                                         aten::addcmul_         0.00%     553.056us         0.00%     553.056us      11.522us            48                                             [[5120, 8], [5120, 8], [5120, 8], []]            --  
                        torch::autograd::AccumulateGrad         0.00%     547.137us         0.00%       1.120ms      11.668us            96                                                                       [[8, 5120]]            --  
                                       aten::as_strided         0.00%     545.616us         0.00%     545.616us       3.789us           144                                                       [[5120, 13824], [], [], []]            --  
                     aten::scaled_dot_product_attention         0.00%     543.531us         0.74%     343.787ms       7.162ms            48       [[8, 40, 256, 128], [8, 8, 256, 128], [8, 8, 256, 128], [], [], [], [], []]            --  
                                     TransposeBackward0         0.00%     537.306us         0.00%       2.228ms      23.457us            95                                                                [[8, 8, 256, 128]]            --  
                                                aten::t         0.00%     532.036us         0.00%       1.149ms      11.966us            96                                                                       [[1024, 8]]            --  
    autograd::engine::evaluate_function: AddmmBackward0         0.00%     530.802us         0.68%     319.118ms       6.790ms            47                                                                                []            --  
                                          ViewBackward0         0.00%     504.320us         0.04%      19.811ms     208.540us            95                                                                [[8, 256, 8, 128]]            --  
                                           MulBackward0         0.00%     501.495us         0.04%      18.267ms     380.569us            48                                                                  [[8, 256, 1024]]            --  
                                           aten::matmul         0.00%     496.225us         0.03%      12.014ms     250.299us            48                                                          [[8, 256, 8], [8, 1024]]            --  
