-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
                                               aten::mm         0.70%     322.193ms         0.70%     322.194ms     322.194ms             1                                                    [[2048, 5120], [5120, 152064]]  3189013217280.000  
                                              aten::mul         0.46%     210.404ms         0.46%     210.404ms       1.461ms           144                                                [[8, 256, 13824], [8, 256, 13824]]  4076863488.000  
                                             aten::add_         0.40%     182.564ms         0.40%     182.564ms     640.576us           285                                              [[8, 256, 5120], [8, 256, 5120], []]            --  
autograd::engine::evaluate_function: BackwardHookFun...         0.37%     171.815ms         0.55%     253.081ms     293.597us           862                                                                                []            --  
                                              aten::mul         0.35%     162.991ms         0.38%     174.190ms     907.238us           192                                                              [[8, 256, 5120], []]  2013265920.000  
                                              aten::add         0.33%     152.872ms         0.41%     186.856ms     973.207us           192                                              [[8, 256, 5120], [8, 256, 5120], []]  2013265920.000  
                                              aten::mul         0.31%     143.647ms         0.31%     143.647ms     748.162us           192                                             [[8, 40, 256, 128], [1, 1, 256, 128]]  2013265920.000  
                                    aten::silu_backward         0.29%     132.900ms         0.29%     132.900ms       2.769ms            48                                                [[8, 256, 13824], [8, 256, 13824]]            --  
                                    aten::empty_strided         0.27%     126.500ms         0.27%     126.500ms      41.708us          3033                                                          [[], [], [], [], [], []]            --  
                                             aten::div_         0.27%     125.325ms         0.29%     134.297ms       1.399ms            96                                                              [[8, 256, 5120], []]            --  
                                             aten::silu         0.26%     121.106ms         0.26%     121.106ms       2.523ms            48                                                                 [[8, 256, 13824]]            --  
                                              aten::mul         0.26%     120.444ms         0.26%     120.444ms     624.062us           193                                                     [[8, 256, 5120], [8, 256, 1]]  2023751680.000  
                                               aten::mm         0.26%     117.932ms         0.26%     118.076ms     819.971us           144                                                         [[2048, 5120], [5120, 8]]  24159191040.000  
                                              aten::pow         0.23%     106.560ms         0.37%     171.554ms     888.879us           193                                                              [[8, 256, 5120], []]            --  
                                              aten::div         0.21%      97.545ms         0.22%     101.921ms       1.062ms            96                                                              [[8, 256, 5120], []]            --  
                                               aten::mm         0.19%      86.490ms         0.19%      86.595ms     609.822us           142                                                            [[2048, 8], [8, 5120]]  23823646720.000  
                                               aten::mm         0.18%      83.294ms         0.18%      83.348ms       1.736ms            48                                                         [[5120, 2048], [2048, 8]]  8053063680.000  
                                             aten::add_         0.17%      77.148ms         0.17%      77.148ms     803.625us            96                                        [[8, 40, 256, 128], [8, 40, 256, 128], []]            --  
                                            aten::empty         0.17%      76.720ms         0.17%      76.720ms      61.474us          1248                                                          [[], [], [], [], [], []]            --  
                                               aten::mm         0.12%      54.231ms         0.12%      54.304ms     565.666us            96                                                         [[8, 2048], [2048, 5120]]  16106127360.000  
                                              aten::mul         0.11%      51.648ms         0.11%      51.648ms     537.998us            96                                                          [[8, 256, 5120], [5120]]  1006632960.000  
                                              aten::cat         0.11%      49.845ms         0.11%      51.361ms     266.117us           193                                                                          [[], []]            --  
                                              aten::mul         0.10%      47.974ms         0.10%      47.974ms     494.573us            97                                                          [[5120], [8, 256, 5120]]    496640.000  
                                              aten::add         0.10%      45.538ms         0.10%      45.538ms     948.711us            48                                        [[8, 40, 256, 128], [8, 40, 256, 128], []]  503316480.000  
                                              aten::mul         0.09%      43.425ms         0.09%      43.425ms     228.551us           190                                              [[8, 8, 256, 128], [1, 1, 256, 128]]  398458880.000  
                                     aten::_log_softmax         0.09%      41.149ms         0.09%      41.149ms      41.149ms             1                                                          [[2048, 152064], [], []]            --  
                                              aten::sum         0.09%      40.882ms         0.09%      41.484ms     432.122us            96                                                      [[8, 256, 5120], [], [], []]            --  
                                             aten::add_         0.09%      39.608ms         0.09%      39.608ms     825.156us            48                                                        [[2048, 5120], [5120], []]            --  
                               Optimizer.step#Adam.step         0.08%      38.240ms         0.25%     115.664ms     115.664ms             1                                                                                []            --  
                                            aten::copy_         0.08%      35.502ms         0.08%      35.502ms      17.751ms             2                                          [[8, 256, 152064], [8, 256, 152064], []]            --  
                       aten::_log_softmax_backward_data         0.07%      32.795ms         0.07%      32.795ms      32.795ms             1                                          [[2048, 152064], [2048, 152064], [], []]            --  
                                               aten::mm         0.06%      29.620ms         0.06%      29.695ms     618.643us            48                                                         [[1024, 2048], [2048, 8]]  1610612736.000  
                                              aten::neg         0.06%      26.421ms         0.06%      26.421ms     275.223us            96                                                                [[8, 40, 256, 64]]            --  
                                              aten::sum         0.06%      25.783ms         0.06%      26.355ms     271.705us            97                                         [[8, 256, 5120], [], [], [], [8, 256, 1]]            --  
                                              aten::mul         0.05%      25.139ms         0.07%      30.583ms     318.577us            96                                                              [[8, 256, 1024], []]  201326592.000  
                                            aten::fill_         0.04%      20.532ms         0.04%      20.532ms     213.880us            96                                                           [[8, 40, 256, 128], []]            --  
                                            aten::copy_         0.04%      19.515ms         0.04%      19.515ms     102.172us           191                                              [[8, 256, 1024], [8, 256, 1024], []]            --  
                                            aten::copy_         0.04%      18.169ms         0.04%      18.169ms     378.523us            48                                        [[8, 256, 40, 128], [8, 256, 40, 128], []]            --  
                                             aten::add_         0.04%      16.933ms         0.04%      16.933ms     180.142us            94                                          [[8, 8, 256, 128], [8, 8, 256, 128], []]            --  
      autograd::engine::evaluate_function: MulBackward0         0.04%      16.147ms         1.64%     757.449ms       1.222ms           620                                                                                []            --  
                                   BackwardHookFunction         0.03%      14.166ms         0.04%      18.555ms      43.150us           430                                                                  [[8, 256, 5120]]            --  
                                            aten::fill_         0.03%      14.111ms         0.03%      14.111ms      14.111ms             1                                                              [[2048, 152064], []]            --  
                                            aten::copy_         0.03%      12.929ms         0.03%      12.929ms     134.680us            96                                          [[8, 40, 256, 64], [8, 40, 256, 64], []]            --  
                                               aten::mm         0.02%      11.073ms         0.02%      11.093ms     231.101us            48                                                            [[2048, 8], [8, 1024]]  1610612736.000  
                                              aten::add         0.02%      11.050ms         0.02%      11.050ms     230.203us            48                                          [[8, 8, 256, 128], [8, 8, 256, 128], []]  100663296.000  
                                         aten::_to_copy         0.02%      11.025ms         1.00%     461.479ms     601.667us           767                                          [[8, 256, 5120], [], [], [], [], [], []]            --  
                                              aten::mul         0.02%       9.800ms         0.03%      15.347ms     159.868us            96                                                                 [[8, 256, 1], []]    196608.000  
                                               aten::mm         0.02%       9.684ms         0.02%       9.729ms     202.688us            48                                                         [[2048, 1024], [1024, 8]]  1610612736.000  
                                              aten::add         0.02%       8.983ms         0.03%      15.468ms     322.248us            48                                              [[8, 256, 1024], [8, 256, 1024], []]  100663296.000  
                                              aten::neg         0.02%       8.672ms         0.02%       8.672ms      91.283us            95                                                                 [[8, 8, 256, 64]]            --  
                                             aten::mean         0.02%       8.619ms         0.11%      49.060ms     505.769us            97                                                      [[8, 256, 5120], [], [], []]            --  
                                         aten::_to_copy         0.02%       8.475ms         0.14%      64.577ms      41.933us          1540                                                      [[], [], [], [], [], [], []]            --  
                           BackwardHookFunctionBackward         0.02%       8.296ms         0.02%       8.296ms      19.293us           430                                                                  [[8, 256, 5120]]            --  
                                             aten::div_         0.02%       8.265ms         0.03%      14.086ms     145.213us            97                                                                 [[8, 256, 1], []]            --  
                                             aten::add_         0.02%       8.195ms         0.02%       8.195ms     170.727us            48                                                        [[2048, 1024], [1024], []]            --  
       autograd::engine::evaluate_function: MmBackward0         0.02%       8.141ms        22.55%       10.382s      26.966ms           385                                                                                []            --  
autograd::engine::evaluate_function: ToCopyBackward0...         0.02%       8.004ms         0.66%     302.326ms     789.362us           383                                                                                []            --  
                                            aten::fill_         0.02%       7.450ms         0.02%       7.450ms     155.211us            48                                                           [[8, 256, 40, 128], []]            --  
                                             aten::view         0.01%       6.832ms         0.01%       6.832ms       6.200us          1102                                                              [[8, 256, 5120], []]            --  
     autograd::engine::evaluate_function: ViewBackward0         0.01%       6.280ms         0.10%      47.908ms      55.902us           857                                                                                []            --  
                                              aten::pow         0.01%       5.927ms         0.01%       6.231ms      64.904us            96                                                                 [[8, 256, 1], []]            --  
                                              aten::add         0.01%       5.808ms         0.02%      10.659ms     109.889us            97                                                             [[8, 256, 1], [], []]    198656.000  
                                            aten::rsqrt         0.01%       5.556ms         0.01%       5.556ms      57.279us            97                                                                     [[8, 256, 1]]            --  
                                   BackwardHookFunction         0.01%       5.506ms         0.02%       7.047ms      48.938us           144                                                                 [[8, 256, 13824]]            --  
                                            aten::copy_         0.01%       4.722ms         0.01%       4.722ms       3.066us          1540                                                                      [[], [], []]            --  
                                            aten::copy_         0.01%       4.674ms         0.01%       4.674ms      49.725us            94                                            [[8, 8, 256, 64], [8, 8, 256, 64], []]            --  
                                              aten::div         0.01%       4.541ms         0.02%       7.207ms      75.073us            96                                                                   [[8, 5120], []]            --  
                                            aten::fill_         0.01%       4.257ms         0.01%       4.257ms      45.292us            94                                                            [[8, 8, 256, 128], []]            --  
      autograd::engine::evaluate_function: PowBackward0         0.01%       4.246ms         0.71%     327.849ms       3.415ms            96                                                                                []            --  
                                            aten::copy_         0.01%       4.204ms         0.01%       4.204ms      89.455us            47                                          [[8, 256, 8, 128], [8, 256, 8, 128], []]            --  
                                           MulBackward0         0.01%       4.149ms         0.86%     397.371ms       1.190ms           334                                                                  [[8, 256, 5120]]            --  
                                              aten::mul         0.01%       4.033ms         0.01%       4.033ms      42.012us            96                                                        [[8, 256, 1], [8, 256, 1]]    196608.000  
    autograd::engine::evaluate_function: SliceBackward0         0.01%       3.790ms         0.23%     104.821ms     551.688us           190                                                                                []            --  
                                          aten::dropout         0.01%       3.767ms        28.11%       12.945s     134.839ms            96                                                          [[8, 256, 5120], [], []]            --  
                                             aten::sqrt         0.01%       3.670ms         0.01%       3.670ms      38.233us            96                                                                       [[8, 5120]]            --  
autograd::engine::evaluate_function: ScaledDotProduc...         0.01%       3.641ms        10.08%        4.640s      96.670ms            48                                                                                []            --  
                                            MmBackward0         0.01%       3.377ms         8.96%        4.125s      28.648ms           144                                                                    [[2048, 5120]]            --  
                                            aten::fill_         0.01%       3.362ms         0.01%       3.362ms      35.022us            96                                                            [[8, 256, 8, 128], []]            --  
                                             aten::view         0.01%       3.326ms         0.01%       3.326ms       9.928us           335                                                                [[2048, 5120], []]            --  
                                            aten::slice         0.01%       3.292ms         0.01%       3.956ms       6.928us           571                                                [[8, 8, 256, 128], [], [], [], []]            --  
                                   BackwardHookFunction         0.01%       3.272ms         0.01%       4.183ms      21.787us           192                                                                     [[8, 256, 8]]            --  
                                           PowBackward0         0.01%       3.205ms         0.55%     255.377ms       2.660ms            96                                                                  [[8, 256, 5120]]            --  
      autograd::engine::evaluate_function: AddBackward0         0.01%       3.174ms         0.08%      37.596ms      98.162us           383                                                                                []            --  
                                            aten::zeros         0.01%       3.090ms         0.12%      57.288ms     133.538us           429                                                              [[], [], [], [], []]            --  
                                           aten::matmul         0.01%       3.079ms        11.14%        5.130s      53.437ms            96                                                   [[8, 256, 5120], [5120, 13824]]            --  
                           BackwardHookFunctionBackward         0.01%       2.924ms         0.01%       2.924ms      20.308us           144                                                                 [[8, 256, 13824]]            --  
                           BackwardHookFunctionBackward         0.01%       2.924ms         0.01%       2.924ms      30.776us            95                                                                  [[8, 256, 1024]]            --  
                                               aten::to         0.01%       2.877ms         0.15%      67.453ms      43.801us          1540                                                              [[], [], [], [], []]            --  
                                         RsqrtBackward0         0.01%       2.854ms         0.06%      28.465ms     296.510us            96                                                                     [[8, 256, 1]]            --  
                                            aten::fill_         0.01%       2.745ms         0.01%       2.745ms      14.298us           192                                                                   [[8, 5120], []]            --  
                                            aten::copy_         0.01%       2.572ms         0.01%       2.572ms      53.581us            48                                                  [[2048, 1024], [2048, 1024], []]            --  
                                            MmBackward0         0.01%       2.381ms        11.99%        5.522s      57.516ms            96                                                                   [[2048, 13824]]            --  
                                            MmBackward0         0.00%       2.279ms         0.23%     107.545ms       1.120ms            96                                                                       [[2048, 8]]            --  
                                              aten::div         0.00%       2.269ms         0.01%       3.594ms      74.883us            48                                                                   [[5120, 8], []]            --  
autograd::engine::evaluate_function: UnsafeViewBackw...         0.00%       2.194ms         0.02%       7.883ms      20.476us           385                                                                                []            --  
                                            aten::slice         0.00%       2.171ms         0.01%       2.702ms       7.038us           384                                               [[8, 40, 256, 128], [], [], [], []]            --  
                                   BackwardHookFunction         0.00%       2.048ms         0.01%       2.526ms      26.593us            95                                                                  [[8, 256, 1024]]            --  
                                        aten::transpose         0.00%       2.035ms         0.01%       2.859ms      14.891us           192                                                       [[8, 256, 40, 128], [], []]            --  
                                           aten::matmul         0.00%       1.979ms         3.51%        1.617s      33.695ms            48                                                    [[8, 256, 5120], [5120, 5120]]            --  
                                        ToCopyBackward0         0.00%       1.938ms         0.41%     189.802ms     568.270us           334                                                                  [[8, 256, 5120]]            --  
                           BackwardHookFunctionBackward         0.00%       1.932ms         0.00%       1.932ms      10.064us           192                                                                     [[8, 256, 8]]            --  
                                            aten::lerp_         0.00%       1.912ms         0.00%       1.912ms      19.912us            96                                                        [[8, 5120], [8, 5120], []]            --  
                                               aten::to         0.00%       1.901ms         0.60%     276.894ms     442.322us           626                                                  [[8, 256, 5120], [], [], [], []]            --  
                                             aten::view         0.00%       1.865ms         0.00%       1.865ms       6.477us           288                                                             [[8, 256, 13824], []]            --  
    autograd::engine::evaluate_function: RsqrtBackward0         0.00%       1.805ms         0.07%      30.270ms     315.316us            96                                                                                []            --  
                                          ViewBackward0         0.00%       1.752ms         0.01%       4.602ms      16.090us           286                                                                    [[2048, 5120]]            --  
                                             aten::sqrt         0.00%       1.744ms         0.00%       1.744ms      36.332us            48                                                                       [[5120, 8]]            --  
     autograd::engine::evaluate_function: SiluBackward0         0.00%       1.713ms         0.29%     135.125ms       2.815ms            48                                                                                []            --  
                                         aten::_to_copy         0.00%       1.703ms         0.07%      31.109ms     162.873us           191                                          [[8, 256, 1024], [], [], [], [], [], []]            --  
                                          aten::reshape         0.00%       1.703ms         0.01%       5.282ms       9.169us           576                                                              [[8, 256, 5120], []]            --  
                                     aten::_unsafe_view         0.00%       1.673ms         0.00%       1.673ms      11.620us           144                                                                [[2048, 5120], []]            --  
                                          aten::view_as         0.00%       1.664ms         0.01%       4.389ms      10.207us           430                                                  [[8, 256, 5120], [8, 256, 5120]]            --  
      autograd::engine::evaluate_function: CatBackward0         0.00%       1.663ms         0.02%      10.338ms      54.410us           190                                                                                []            --  
                                             aten::mul_         0.00%       1.663ms         0.01%       4.296ms      44.746us            96                                                                   [[8, 5120], []]            --  
                                            MmBackward0         0.00%       1.592ms         0.09%      42.642ms     888.374us            48                                                                    [[2048, 1024]]            --  
                                              aten::div         0.00%       1.590ms         0.01%       2.931ms      61.058us            48                                                                   [[1024, 8], []]            --  
                                        aten::transpose         0.00%       1.576ms         0.00%       1.989ms       5.919us           336                                                       [[8, 40, 256, 128], [], []]            --  
                                                aten::t         0.00%       1.557ms         0.01%       3.551ms      12.328us           288                                                                       [[8, 5120]]            --  
                                        aten::transpose         0.00%       1.542ms         0.00%       1.966ms       6.851us           287                                                        [[8, 8, 256, 128], [], []]            --  
                                           aten::matmul         0.00%       1.514ms         0.20%      90.177ms     939.348us            96                                                       [[8, 256, 5120], [5120, 8]]            --  
                                         aten::addcdiv_         0.00%       1.464ms         0.00%       1.464ms      15.250us            96                                             [[8, 5120], [8, 5120], [8, 5120], []]            --  
                                           aten::matmul         0.00%       1.428ms         4.42%        2.034s      42.381ms            48                                                  [[8, 256, 13824], [13824, 5120]]            --  
                                           MulBackward0         0.00%       1.416ms         0.05%      23.928ms     254.554us            94                                                                [[8, 8, 256, 128]]            --  
                                        aten::transpose         0.00%       1.401ms         0.00%       1.993ms       6.921us           288                                                               [[8, 5120], [], []]            --  
                                             aten::view         0.00%       1.381ms         0.00%       1.381ms       4.147us           333                                                              [[8, 256, 1024], []]            --  
                                           MulBackward0         0.00%       1.381ms         0.31%     144.920ms       3.019ms            48                                                                 [[8, 256, 13824]]            --  
                                               aten::to         0.00%       1.379ms         0.41%     187.865ms     562.469us           334                                      [[8, 256, 5120], [], [], [], [], [], [], []]            --  
                                            aten::fill_         0.00%       1.365ms         0.00%       1.365ms      14.221us            96                                                                   [[5120, 8], []]            --  
                                           CatBackward0         0.00%       1.346ms         0.02%       7.120ms      50.143us           142                                                                [[8, 8, 256, 128]]            --  
                                           aten::narrow         0.00%       1.341ms         0.01%       4.034ms      10.587us           381                                                    [[8, 8, 256, 128], [], [], []]            --  
                                           aten::expand         0.00%       1.330ms         0.00%       1.770ms      18.437us            96                                                             [[8, 256, 1], [], []]            --  
                                             aten::sqrt         0.00%       1.328ms         0.00%       1.328ms      27.673us            48                                                                       [[1024, 8]]            --  
                                             aten::add_         0.00%       1.318ms         0.01%       3.916ms      40.796us            96                                                               [[8, 5120], [], []]            --  
                     Optimizer.zero_grad#Adam.zero_grad         0.00%       1.301ms         0.00%       1.301ms       1.301ms             1                                                                                []            --  
                                             aten::add_         0.00%       1.291ms         0.01%       6.660ms      34.685us           192                                                                      [[], [], []]            --  
autograd::engine::evaluate_function: TransposeBackwa...         0.00%       1.261ms         0.01%       4.849ms      25.388us           191                                                                                []            --  
                                                aten::t         0.00%       1.250ms         0.01%       2.900ms      20.136us           144                                                                   [[5120, 13824]]            --  
                                     aten::_unsafe_view         0.00%       1.245ms         0.00%       1.245ms      12.964us            96                                                               [[2048, 13824], []]            --  
                                          aten::reshape         0.00%       1.234ms         0.01%       4.558ms      13.647us           334                                                                [[2048, 5120], []]            --  
                                                aten::t         0.00%       1.228ms         0.01%       3.027ms      21.019us           144                                                                   [[13824, 5120]]            --  
                                   aten::slice_backward         0.00%       1.215ms         0.03%      15.485ms     164.737us            94                                             [[8, 8, 256, 64], [], [], [], [], []]            --  
                                        aten::transpose         0.00%       1.197ms         0.00%       1.648ms       8.583us           192                                                        [[8, 256, 8, 128], [], []]            --  
                                            aten::fill_         0.00%       1.174ms         0.00%       1.174ms       6.082us           193                                                                 [[8, 256, 1], []]            --  
                                             aten::view         0.00%       1.170ms         0.00%       1.170ms       3.047us           384                                                                 [[8, 256, 8], []]            --  
                                        aten::transpose         0.00%       1.116ms         0.00%       1.799ms      12.494us           144                                                           [[13824, 5120], [], []]            --  
                                       aten::as_strided         0.00%       1.087ms         0.00%       1.087ms       1.267us           858                                                    [[8, 8, 256, 128], [], [], []]            --  
                                                aten::t         0.00%       1.083ms         0.01%       2.538ms       8.876us           286                                                                       [[5120, 8]]            --  
                                         aten::addcmul_         0.00%       1.073ms         0.00%       1.073ms      11.178us            96                                             [[8, 5120], [8, 5120], [8, 5120], []]            --  
                                        aten::transpose         0.00%       1.042ms         0.00%       1.455ms       5.088us           286                                                               [[5120, 8], [], []]            --  
                                        aten::transpose         0.00%       1.040ms         0.00%       1.649ms      11.452us           144                                                           [[5120, 13824], [], []]            --  
                                             aten::view         0.00%       1.026ms         0.00%       1.026ms      10.688us            96                                                                [[2048, 1024], []]            --  
                                          MeanBackward1         0.00%       1.014ms         0.23%     104.705ms       1.091ms            96                                                                     [[8, 256, 1]]            --  
        autograd::engine::evaluate_function: TBackward0         0.00%       1.009ms         0.01%       3.063ms      15.952us           192                                                                                []            --  
          ScaledDotProductFlashAttentionForCpuBackward0         0.00%     993.846us        10.07%        4.637s      96.595ms            48                                                               [[8, 40, 256, 128]]            --  
                                           aten::linear         0.00%     980.151us        11.15%        5.133s      53.471ms            96                                               [[8, 256, 5120], [13824, 5120], []]            --  
                                           aten::linear         0.00%     974.420us         0.89%     410.107ms       8.544ms            48                                            [[8, 256, 5120], [1024, 5120], [1024]]            --  
autograd::engine::evaluate_function: torch::autograd...         0.00%     953.878us         0.01%       3.613ms      18.817us           192                                                                                []            --  
                                            aten::lerp_         0.00%     949.262us         0.00%     949.262us      19.776us            48                                                        [[5120, 8], [5120, 8], []]            --  
                                       aten::as_strided         0.00%     944.284us         0.00%     944.284us       1.312us           720                                                   [[8, 40, 256, 128], [], [], []]            --  
                                          aten::reshape         0.00%     932.733us         0.02%       9.224ms      97.092us            95                                                            [[8, 256, 8, 128], []]            --  
     autograd::engine::evaluate_function: MeanBackward1         0.00%     931.287us         0.23%     105.636ms       1.100ms            96                                                                                []            --  
                                       aten::empty_like         0.00%     893.492us         0.02%       7.855ms      81.824us            96                                              [[8, 256, 5120], [], [], [], [], []]            --  
                                   aten::slice_backward         0.00%     893.064us         0.09%      39.739ms     413.949us            96                                            [[8, 40, 256, 64], [], [], [], [], []]            --  
                                             aten::mul_         0.00%     838.967us         0.00%       2.154ms      44.881us            48                                                                   [[5120, 8], []]            --  
                                         AddmmBackward0         0.00%     837.737us         0.72%     329.724ms       7.015ms            47                                                                    [[2048, 1024]]            --  
                                       aten::as_strided         0.00%     824.056us         0.00%     824.056us       4.292us           192                                                   [[8, 256, 40, 128], [], [], []]            --  
                                       aten::zeros_like         0.00%     806.204us         0.02%      10.608ms      55.251us           192                                                   [[8, 5120], [], [], [], [], []]            --  
                                          aten::reshape         0.00%     790.855us         0.05%      23.153ms     241.176us            96                                                           [[8, 256, 40, 128], []]            --  
                                    UnsafeViewBackward0         0.00%     766.610us         0.01%       2.327ms      16.159us           144                                                                  [[8, 256, 5120]]            --  
                                            aten::fill_         0.00%     730.737us         0.00%     730.737us       7.692us            95                                                                         [[0], []]            --  
                                         aten::addcdiv_         0.00%     728.286us         0.00%     728.286us      15.173us            48                                             [[5120, 8], [5120, 8], [5120, 8], []]            --  
                                           MulBackward0         0.00%     707.692us         0.16%      71.512ms     744.913us            96                                                               [[8, 40, 256, 128]]            --  
                                       aten::as_strided         0.00%     683.197us         0.00%     683.197us       4.744us           144                                                       [[13824, 5120], [], [], []]            --  
                                                aten::t         0.00%     678.314us         0.00%       1.311ms      13.654us            96                                                                    [[5120, 5120]]            --  
                                           aten::narrow         0.00%     671.361us         0.00%       1.810ms       9.425us           192                                                   [[8, 40, 256, 128], [], [], []]            --  
autograd::engine::evaluate_function: torch::autograd...         0.00%     666.443us         0.00%       1.866ms      19.847us            94                                                                                []            --  
                                             aten::add_         0.00%     652.149us         0.00%       1.972ms      41.085us            48                                                               [[5120, 8], [], []]            --  
                    torch::autograd::WarnNotImplemented         0.00%     647.097us         0.00%     647.097us      13.768us            47                                                                    [[2048, 1024]]            --  
                                    UnsafeViewBackward0         0.00%     639.808us         0.00%       1.582ms      16.475us            96                                                                 [[8, 256, 13824]]            --  
      autograd::engine::evaluate_function: NegBackward0         0.00%     630.023us         0.04%      18.273ms     192.348us            95                                                                                []            --  
                                         SliceBackward0         0.00%     622.933us         0.03%      16.108ms     171.363us            94                                                                 [[8, 8, 256, 64]]            --  
                                           aten::linear         0.00%     621.136us         0.20%      92.700ms     965.630us            96                                                   [[8, 256, 5120], [8, 5120], []]            --  
                                            aten::zero_         0.00%     609.754us         0.00%       1.340ms      14.110us            95                                                                             [[0]]            --  
                                       aten::as_strided         0.00%     609.489us         0.00%     609.489us       4.233us           144                                                       [[5120, 13824], [], [], []]            --  
                                     aten::_unsafe_view         0.00%     600.469us         0.00%     600.469us       6.255us            96                                                                   [[2048, 8], []]            --  
                                           aten::matmul         0.00%     597.372us         0.08%      39.117ms     814.945us            48                                                          [[8, 256, 8], [8, 5120]]            --  
                                          aten::view_as         0.00%     596.485us         0.00%       1.541ms      10.699us           144                                                [[8, 256, 13824], [8, 256, 13824]]            --  
                                       aten::as_strided         0.00%     592.206us         0.00%     592.206us       2.056us           288                                                           [[8, 5120], [], [], []]            --  
                                       aten::empty_like         0.00%     587.342us         0.01%       6.750ms      35.158us           192                                                   [[8, 5120], [], [], [], [], []]            --  
                                             aten::view         0.00%     570.428us         0.00%     570.428us      11.884us            48                                                               [[2048, 13824], []]            --  
                    torch::autograd::WarnNotImplemented         0.00%     552.065us         0.00%     552.065us      11.746us            47                                                                    [[2048, 5120]]            --  
                                            aten::clone         0.00%     548.045us         0.02%       7.563ms     160.905us            47                                                            [[8, 256, 8, 128], []]            --  
    autograd::engine::evaluate_function: AddmmBackward0         0.00%     539.922us         0.72%     330.264ms       7.027ms            47                                                                                []            --  
                                         aten::addcmul_         0.00%     535.132us         0.00%     535.132us      11.149us            48                                             [[5120, 8], [5120, 8], [5120, 8], []]            --  
                        torch::autograd::AccumulateGrad         0.00%     530.758us         0.00%       1.074ms      11.186us            96                                                                       [[8, 5120]]            --  
                     aten::scaled_dot_product_attention         0.00%     525.946us         0.75%     343.412ms       7.154ms            48       [[8, 40, 256, 128], [8, 8, 256, 128], [8, 8, 256, 128], [], [], [], [], []]            --  
                                           aten::matmul         0.00%     518.998us         0.03%      11.983ms     249.640us            48                                                          [[8, 256, 8], [8, 1024]]            --  
                                          SiluBackward0         0.00%     511.751us         0.29%     133.412ms       2.779ms            48                                                                 [[8, 256, 13824]]            --  
                                            aten::clone         0.00%     502.202us         0.05%      21.713ms     452.347us            48                                                           [[8, 256, 40, 128], []]            --  
                                          ViewBackward0         0.00%     495.851us         0.00%       1.252ms      26.078us            48                                                                   [[2048, 13824]]            --  
                                           AddBackward0         0.00%     486.023us         0.00%     486.023us       3.375us           144                                                                  [[8, 256, 5120]]            --  
                                                aten::t         0.00%     479.987us         0.00%       1.051ms      10.945us            96                                                                       [[1024, 8]]            --  
                                          aten::reshape         0.00%     477.523us         0.00%       1.399ms       9.714us           144                                                             [[8, 256, 13824], []]            --  
                                          ViewBackward0         0.00%     476.040us         0.02%       9.700ms     102.103us            95                                                                [[8, 256, 8, 128]]            --  
                                     TransposeBackward0         0.00%     472.483us         0.00%       1.843ms      19.400us            95                                                                [[8, 8, 256, 128]]            --  
